ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_12417	1	0	0	2.52208165467899e-97	0	19	0	0	0	-1	Proteobacteria	117	0
OTU_12580	1	0	0	3.5495143750657e-83	0	14	0	0	0	-1	Acidobacteria	1273	0
OTU_12734	3	0.5	1	1.79251275646926e-58	0.666666666666667	10	1	0	0	-1	Verrucomicrobia	4352	1
OTU_13168	1	0	0	3.26262530411106e-05	0	1	-0.691973526634884	0	0	0	Actinobacteria	664	0
OTU_13791	3	4.3338445436423	48	0.0864914153197441	0.666666666666667	2	-0.454541241173814	0	0	-1	Proteobacteria	1065	0
OTU_14293	1	0	0	2.52208165467899e-97	0	18	0	0	0	0	Proteobacteria	5210	0
OTU_14351	7	137.365718962503	1115	0.167698953880591	0.619047619047619	2	0.281930643259707	0	0	0	Proteobacteria	1417	0
OTU_14565	3	0	0	0.0527118780724384	1	2	-0.454541241173814	0	0	0	Proteobacteria	640	0
OTU_14601	3	0	0	3.60682578600768e-11	1	4	-0.687343396623471	0	0	0	Firmicutes	1006	0
OTU_14617	2	0	0	1.39955166843014e-58	1	10	-1	0	0	-1	Verrucomicrobia	19862	1
OTU_14733	2	0	0	0.00044809213489527	1	0	-0.411693484796309	0	0	-1	Actinobacteria	1968	0
OTU_14736	12	25.6714285714286	84	1.3703368973364e-10	0.515151515151515	4	1.58088981223398	0	0	-1	Firmicutes	6705	1
OTU_15934	1	0	0	2.52208165467899e-97	0	25	0	0	0	-1	Actinobacteria	982	0
OTU_16162	2	0	0	9.99099476055758e-69	1	13	0	0	0	-1	Cyanobacteria/Chloroplast	512	1
OTU_16473	2	0	0	1.39955166843014e-58	1	11	-1	0	0	-1	Proteobacteria	1452	0
OTU_16676	1	0	0	0.0146944700254309	0	2	-0.822777183390575	0	0	0	Proteobacteria	840	0
OTU_16896	2	44.2335459338	424	0.000428938581701751	0	1	-0.395413443791362	0	0	-1	Verrucomicrobia	563	0
OTU_17207	3	194	462	0.0249135045317334	0.333333333333333	2	-0.454541241173814	0	0	0	Proteobacteria	1044	0
OTU_17530	1	0	0	0.00180703292808271	0	0	-0.72732515647348	0	0	0	Actinobacteria	498	0
OTU_18617	3	0	0	4.5510501118527e-11	1	4	-0.687343396623471	0	0	-1	Firmicutes	742	0
