Source	Target	Weight	Flag	Module	Type
OTU_89	OTU_423	1	2	2	Undirected
OTU_89	OTU_487	1	2	2	Undirected
OTU_89	OTU_660	1	2	2	Undirected
OTU_89	OTU_1068	1	2	2	Undirected
OTU_89	OTU_1326	1	2	2	Undirected
OTU_96	OTU_140	1	2	1	Undirected
OTU_96	OTU_223	1	2	1	Undirected
OTU_97	OTU_279	1	2	8	Undirected
OTU_98	OTU_117	1	2	2	Undirected
OTU_98	OTU_141	1	2	2	Undirected
OTU_98	OTU_238	1	2	2	Undirected
OTU_98	OTU_240	1	2	2	Undirected
OTU_98	OTU_423	1	2	2	Undirected
OTU_98	OTU_750	1	2	2	Undirected
OTU_98	OTU_4888	1	2	2	Undirected
OTU_98	OTU_5678	1	2	2	Undirected
OTU_98	OTU_14565	1	2	2	Undirected
OTU_98	OTU_16676	1	2	2	Undirected
OTU_98	OTU_22338	1	2	2	Undirected
OTU_98	OTU_24474	1	2	2	Undirected
OTU_98	OTU_24748	1	2	2	Undirected
OTU_102	OTU_108	1	2	1	Undirected
OTU_102	OTU_187	1	2	1	Undirected
OTU_102	OTU_207	1	2	1	Undirected
OTU_102	OTU_215	1	2	1	Undirected
OTU_102	OTU_245	1	2	1	Undirected
OTU_102	OTU_600	1	2	1	Undirected
OTU_102	OTU_664	1	2	1	Undirected
OTU_102	OTU_695	1	2	1	Undirected
OTU_102	OTU_1469	1	2	1	Undirected
OTU_102	OTU_16896	1	2	1	Undirected
OTU_102	OTU_19766	1	2	1	Undirected
OTU_106	OTU_131	1	2	0	Undirected
OTU_106	OTU_202	1	2	0	Undirected
OTU_106	OTU_214	1	2	0	Undirected
OTU_106	OTU_1370	1	2	0	Undirected
OTU_106	OTU_20810	1	2	0	Undirected
OTU_108	OTU_126	1	2	1	Undirected
OTU_108	OTU_207	1	2	1	Undirected
OTU_108	OTU_215	1	2	1	Undirected
OTU_110	OTU_112	1	2	2	Undirected
OTU_110	OTU_121	1	2	2	Undirected
OTU_110	OTU_136	1	2	2	Undirected
OTU_110	OTU_141	1	2	2	Undirected
OTU_110	OTU_185	1	2	2	Undirected
