Filename	Method	Submission	GS	AUPR, #1	AUPR, #3	AUPR, #4	AUROC, #1	AUROC, #3	AUROC, #4	PR score, #1	PR score, #3	PR score, #4	ROC score, #1	ROC score, #3	ROC score, #4	Score, #1	Score, #3	Score, #4	Final score
DREAM5_Bayesian1_net1_MI2_#37.txt	idirect	Bayesian1	old_gs	0.22403357	0.04318897	0.01963919	0.64157704	0.56682165	0.51236959	34.06270851	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.03148355	0.07481626	0.19315612	5.76648531	
DREAM5_Bayesian1_net1_MI2_#38.txt	idirect	Bayesian1	old_gs	0.22377193	0.04318897	0.01963919	0.64157262	0.56682165	0.51236959	33.86475460	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.93250659	0.07481626	0.19315612	5.73349299	
DREAM5_Bayesian1_net1_MI2_#39.txt	idirect	Bayesian1	old_gs	0.22304349	0.04318897	0.01963919	0.64155593	0.56682165	0.51236959	33.31201258	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.65613558	0.07481626	0.19315612	5.64136932	
DREAM5_Bayesian1_net1_MI2_#4.txt	idirect	Bayesian1	old_gs	0.22376351	0.04318897	0.01963919	0.64157406	0.56682165	0.51236959	33.85715239	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.92870549	0.07481626	0.19315612	5.73222596	
DREAM5_Bayesian1_net1_MI2_#40.txt	idirect	Bayesian1	old_gs	0.22371642	0.04318897	0.01963919	0.64157345	0.56682165	0.51236959	33.81915399	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.90970629	0.07481626	0.19315612	5.72589289	
DREAM5_Bayesian1_net1_MI2_#41.txt	idirect	Bayesian1	old_gs	0.22436221	0.04318897	0.01963919	0.64158100	0.56682165	0.51236959	34.31477962	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.15751910	0.07481626	0.19315612	5.80849716	
DREAM5_Bayesian1_net1_MI2_#42.txt	idirect	Bayesian1	old_gs	0.22355782	0.04318897	0.01963919	0.64157254	0.56682165	0.51236959	33.69770099	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.84897979	0.07481626	0.19315612	5.70565072	
DREAM5_Bayesian1_net1_MI2_#43.txt	idirect	Bayesian1	old_gs	0.22320105	0.04318897	0.01963919	0.64156930	0.56682165	0.51236959	33.43277635	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.71651747	0.07481626	0.19315612	5.66149662	
DREAM5_Bayesian1_net1_MI2_#44.txt	idirect	Bayesian1	old_gs	0.22401921	0.04318897	0.01963919	0.64157869	0.56682165	0.51236959	34.04746103	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.02385981	0.07481626	0.19315612	5.76394406	
DREAM5_Bayesian1_net1_MI2_#45.txt	idirect	Bayesian1	old_gs	0.22385786	0.04318897	0.01963919	0.64157687	0.56682165	0.51236959	33.92560270	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.96293064	0.07481626	0.19315612	5.74363434	
DREAM5_Bayesian1_net1_MI2_#46.txt	idirect	Bayesian1	old_gs	0.22353362	0.04318897	0.01963919	0.64156747	0.56682165	0.51236959	33.68253457	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.84139658	0.07481626	0.19315612	5.70312299	
DREAM5_Bayesian1_net1_MI2_#47.txt	idirect	Bayesian1	old_gs	0.22329463	0.04318897	0.01963919	0.64156664	0.56682165	0.51236959	33.50080100	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.75052979	0.07481626	0.19315612	5.67283406	
DREAM5_Bayesian1_net1_MI2_#48.txt	idirect	Bayesian1	old_gs	0.22405623	0.04318897	0.01963919	0.64157568	0.56682165	0.51236959	34.07795938	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.03910898	0.07481626	0.19315612	5.76902712	
DREAM5_Bayesian1_net1_MI2_#49.txt	idirect	Bayesian1	old_gs	0.22385127	0.04318897	0.01963919	0.64157009	0.56682165	0.51236959	33.92560270	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.96293064	0.07481626	0.19315612	5.74363434	
DREAM5_Bayesian1_net1_MI2_#5.txt	idirect	Bayesian1	old_gs	0.22324082	0.04318897	0.01963919	0.64156547	0.56682165	0.51236959	33.46300108	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.73162983	0.07481626	0.19315612	5.66653407	
DREAM5_Bayesian1_net1_MI2_#50.txt	idirect	Bayesian1	old_gs	0.22351363	0.04318897	0.01963919	0.64157796	0.56682165	0.51236959	33.66737152	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.83381505	0.07481626	0.19315612	5.70059581	
DREAM5_Bayesian1_net1_MI2_#51.txt	idirect	Bayesian1	old_gs	0.22370240	0.04318897	0.01963919	0.64157474	0.56682165	0.51236959	33.81155684	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.90590771	0.07481626	0.19315612	5.72462670	
DREAM5_Bayesian1_net1_MI2_#52.txt	idirect	Bayesian1	old_gs	0.22362559	0.04318897	0.01963919	0.64156877	0.56682165	0.51236959	33.75081008	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.87553433	0.07481626	0.19315612	5.71450224	
DREAM5_Bayesian1_net1_MI2_#53.txt	idirect	Bayesian1	old_gs	0.22349941	0.04318897	0.01963919	0.64157144	0.56682165	0.51236959	33.65221186	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.82623522	0.07481626	0.19315612	5.69806920	
DREAM5_Bayesian1_net1_MI2_#54.txt	idirect	Bayesian1	old_gs	0.22344541	0.04318897	0.01963919	0.64157296	0.56682165	0.51236959	33.61432747	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.80729303	0.07481626	0.19315612	5.69175514	
DREAM5_Bayesian1_net1_MI2_#55.txt	idirect	Bayesian1	old_gs	0.22356966	0.04318897	0.01963919	0.64156836	0.56682165	0.51236959	33.70528547	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.85277203	0.07481626	0.19315612	5.70691480	
DREAM5_Bayesian1_net1_MI2_#56.txt	idirect	Bayesian1	old_gs	0.22375431	0.04318897	0.01963919	0.64158011	0.56682165	0.51236959	33.84955102	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.92490480	0.07481626	0.19315612	5.73095906	
DREAM5_Bayesian1_net1_MI2_#57.txt	idirect	Bayesian1	old_gs	0.22366568	0.04318897	0.01963919	0.64157311	0.56682165	0.51236959	33.78117670	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.89071764	0.07481626	0.19315612	5.71956334	
DREAM5_Bayesian1_net1_MI2_#58.txt	idirect	Bayesian1	old_gs	0.22381455	0.04318897	0.01963919	0.64157885	0.56682165	0.51236959	33.89517190	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.94771524	0.07481626	0.19315612	5.73856254	
DREAM5_Bayesian1_net1_MI2_#59.txt	idirect	Bayesian1	old_gs	0.22307378	0.04318897	0.01963919	0.64156554	0.56682165	0.51236959	33.33463931	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.66744895	0.07481626	0.19315612	5.64514044	
DREAM5_Bayesian1_net1_MI2_#6.txt	idirect	Bayesian1	old_gs	0.22344294	0.04318897	0.01963919	0.64157466	0.56682165	0.51236959	33.61432747	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.80729303	0.07481626	0.19315612	5.69175514	
DREAM5_Bayesian1_net1_MI2_#60.txt	idirect	Bayesian1	old_gs	0.22457650	0.04318897	0.01963919	0.64157952	0.56682165	0.51236959	34.47566714	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.23796286	0.07481626	0.19315612	5.83531175	
DREAM5_Bayesian1_net1_MI2_#61.txt	idirect	Bayesian1	old_gs	0.22325474	0.04318897	0.01963919	0.64156877	0.56682165	0.51236959	33.47055938	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.73540898	0.07481626	0.19315612	5.66779379	
DREAM5_Bayesian1_net1_MI2_#62.txt	idirect	Bayesian1	old_gs	0.22301617	0.04318897	0.01963919	0.64157004	0.56682165	0.51236959	33.28939345	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.64482602	0.07481626	0.19315612	5.63759947	
