"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","consider_cascade","network"
"145",0.25,0.661448412698413,0.012455383292402,0.0012455383292402,"unweighted","No","warming_spearman_ndgs"
"146",0.3,0.601527777777778,0.0160945711913316,0.00160945711913316,"unweighted","No","warming_spearman_ndgs"
"147",0.35,0.539960317460317,0.0146212031709373,0.00146212031709373,"unweighted","No","warming_spearman_ndgs"
"148",0.4,0.478968253968254,0.0155464850703432,0.00155464850703432,"unweighted","No","warming_spearman_ndgs"
"149",0.45,0.424365079365079,0.0168978334005284,0.00168978334005284,"unweighted","No","warming_spearman_ndgs"
"150",0.5,0.365615079365079,0.0163708968156883,0.00163708968156883,"unweighted","No","warming_spearman_ndgs"
"151",0.55,0.311051587301587,0.0174411192682375,0.00174411192682375,"unweighted","No","warming_spearman_ndgs"
"152",0.6,0.262698412698413,0.0173431358649733,0.00173431358649733,"unweighted","No","warming_spearman_ndgs"
"153",0.65,0.212619047619048,0.0146013358805044,0.00146013358805044,"unweighted","No","warming_spearman_ndgs"
"154",0.7,0.16547619047619,0.0168098743745223,0.00168098743745223,"unweighted","No","warming_spearman_ndgs"
"155",0.75,0.125099206349206,0.0145294108070063,0.00145294108070063,"unweighted","No","warming_spearman_ndgs"
"156",0.8,0.0886904761904762,0.0132680355732107,0.00132680355732107,"unweighted","No","warming_spearman_ndgs"
"157",0.85,0.0546031746031746,0.0109929526702859,0.00109929526702859,"unweighted","No","warming_spearman_ndgs"
"158",0.9,0.0253174603174603,0.00754147553003717,0.000754147553003717,"unweighted","No","warming_spearman_ndgs"
"159",0.95,0.00787698412698413,0.00550070699518988,0.000550070699518988,"unweighted","No","warming_spearman_ndgs"
"160",1,0,0,0,"unweighted","No","warming_spearman_ndgs"
