,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
205,0.25,0.682476852,0.015030748,0.001503075,weighted,No,warming_spearman_idirect
206,0.3,0.623472222,0.015124674,0.001512467,weighted,No,warming_spearman_idirect
207,0.35,0.563055556,0.018289479,0.001828948,weighted,No,warming_spearman_idirect
208,0.4,0.505694444,0.016210116,0.001621012,weighted,No,warming_spearman_idirect
209,0.45,0.452083333,0.018832967,0.001883297,weighted,No,warming_spearman_idirect
210,0.5,0.393032407,0.018463768,0.001846377,weighted,No,warming_spearman_idirect
211,0.55,0.337523148,0.018744226,0.001874423,weighted,No,warming_spearman_idirect
212,0.6,0.284305556,0.019946412,0.001994641,weighted,No,warming_spearman_idirect
213,0.65,0.238472222,0.017146557,0.001714656,weighted,No,warming_spearman_idirect
214,0.7,0.189259259,0.018236133,0.001823613,weighted,No,warming_spearman_idirect
215,0.75,0.144189815,0.016523863,0.001652386,weighted,No,warming_spearman_idirect
216,0.8,0.100138889,0.015268564,0.001526856,weighted,No,warming_spearman_idirect
217,0.85,0.063148148,0.012231515,0.001223151,weighted,No,warming_spearman_idirect
218,0.9,0.033263889,0.011028848,0.001102885,weighted,No,warming_spearman_idirect
219,0.95,0.009953704,0.006625354,0.000662535,weighted,No,warming_spearman_idirect
220,1,0,0,0,weighted,No,warming_spearman_idirect
221,0.05,0.934884259,0.006230919,0.000623092,unweighted,No,warming_spearman_idirect
222,0.1,0.871412037,0.009400663,0.000940066,unweighted,No,warming_spearman_idirect
223,0.15,0.808194444,0.011967319,0.001196732,unweighted,No,warming_spearman_idirect
224,0.2,0.747685185,0.012371956,0.001237196,unweighted,No,warming_spearman_idirect
225,0.25,0.684768519,0.014339024,0.001433902,unweighted,No,warming_spearman_idirect
226,0.3,0.622175926,0.017220892,0.001722089,unweighted,No,warming_spearman_idirect
227,0.35,0.565277778,0.017699578,0.001769958,unweighted,No,warming_spearman_idirect
228,0.4,0.505324074,0.018097235,0.001809724,unweighted,No,warming_spearman_idirect
229,0.45,0.451273148,0.016279933,0.001627993,unweighted,No,warming_spearman_idirect
230,0.5,0.393425926,0.018911606,0.001891161,unweighted,No,warming_spearman_idirect
231,0.55,0.338796296,0.020957718,0.002095772,unweighted,No,warming_spearman_idirect
232,0.6,0.282430556,0.018990362,0.001899036,unweighted,No,warming_spearman_idirect
233,0.65,0.235462963,0.018880557,0.001888056,unweighted,No,warming_spearman_idirect
234,0.7,0.188125,0.018750462,0.001875046,unweighted,No,warming_spearman_idirect
235,0.75,0.144074074,0.017071075,0.001707107,unweighted,No,warming_spearman_idirect
236,0.8,0.100578704,0.012530079,0.001253008,unweighted,No,warming_spearman_idirect
237,0.85,0.064722222,0.01370419,0.001370419,unweighted,No,warming_spearman_idirect
238,0.9,0.032384259,0.010354754,0.001035475,unweighted,No,warming_spearman_idirect
239,0.95,0.010393519,0.00585325,0.000585325,unweighted,No,warming_spearman_idirect
240,1,0,0,0,unweighted,No,warming_spearman_idirect
241,0.05,0.711656442,0.00979234,0.000979234,weighted,Yes,warming_spearman
242,0.1,0.667648262,0.014359065,0.001435907,weighted,Yes,warming_spearman
243,0.15,0.618997955,0.015385052,0.001538505,weighted,Yes,warming_spearman
244,0.2,0.569161554,0.017082136,0.001708214,weighted,Yes,warming_spearman
245,0.25,0.523087935,0.0173579,0.00173579,weighted,Yes,warming_spearman
246,0.3,0.476237219,0.019031782,0.001903178,weighted,Yes,warming_spearman
247,0.35,0.439775051,0.020295164,0.002029516,weighted,Yes,warming_spearman
248,0.4,0.391635992,0.018099399,0.00180994,weighted,Yes,warming_spearman
249,0.45,0.347341513,0.020184548,0.002018455,weighted,Yes,warming_spearman
250,0.5,0.309243354,0.01769123,0.001769123,weighted,Yes,warming_spearman
251,0.55,0.265562372,0.017210589,0.001721059,weighted,Yes,warming_spearman
252,0.6,0.226339468,0.018385113,0.001838511,weighted,Yes,warming_spearman
253,0.65,0.18791411,0.015919945,0.001591995,weighted,Yes,warming_spearman
254,0.7,0.152310838,0.015436543,0.001543654,weighted,Yes,warming_spearman
255,0.75,0.113415133,0.014696186,0.001469619,weighted,Yes,warming_spearman
256,0.8,0.084376278,0.01321353,0.001321353,weighted,Yes,warming_spearman
257,0.85,0.053599182,0.011194438,0.001119444,weighted,Yes,warming_spearman
258,0.9,0.028752556,0.008772125,0.000877213,weighted,Yes,warming_spearman
259,0.95,0.009263804,0.005054974,0.000505497,weighted,Yes,warming_spearman
260,1,0,0,0,weighted,Yes,warming_spearman
261,0.05,0.725889571,0.007836675,0.000783668,unweighted,Yes,warming_spearman
262,0.1,0.677034765,0.011670928,0.001167093,unweighted,Yes,warming_spearman
263,0.15,0.627607362,0.012257883,0.001225788,unweighted,Yes,warming_spearman
264,0.2,0.580736196,0.01750496,0.001750496,unweighted,Yes,warming_spearman
265,0.25,0.537423313,0.017615663,0.001761566,unweighted,Yes,warming_spearman
266,0.3,0.487689162,0.016566419,0.001656642,unweighted,Yes,warming_spearman
267,0.35,0.444376278,0.018938822,0.001893882,unweighted,Yes,warming_spearman
268,0.4,0.397546012,0.015649939,0.001564994,unweighted,Yes,warming_spearman
269,0.45,0.351431493,0.018374759,0.001837476,unweighted,Yes,warming_spearman
270,0.5,0.31196319,0.01947518,0.001947518,unweighted,Yes,warming_spearman
271,0.55,0.266421268,0.017323271,0.001732327,unweighted,Yes,warming_spearman
272,0.6,0.229734151,0.016357904,0.00163579,unweighted,Yes,warming_spearman
273,0.65,0.189631902,0.017158562,0.001715856,unweighted,Yes,warming_spearman
274,0.7,0.154621677,0.018163236,0.001816324,unweighted,Yes,warming_spearman
275,0.75,0.117770961,0.015117494,0.001511749,unweighted,Yes,warming_spearman
