,Number.hub.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
167,9,0.934259259,0.008433276,0.000843328,unweighted,Yes,warming_spearman_idirect
168,10,0.926527778,0.009384788,0.000938479,unweighted,Yes,warming_spearman_idirect
169,11,0.917384259,0.008640566,0.000864057,unweighted,Yes,warming_spearman_idirect
170,12,0.910393519,0.008338365,0.000833837,unweighted,Yes,warming_spearman_idirect
171,13,0.898703704,0.006783744,0.000678374,unweighted,Yes,warming_spearman_idirect
172,14,0.888888889,0,0,unweighted,Yes,warming_spearman_idirect
173,1,0.993402778,0.002116326,0.000211633,weighted,No,warming_spearman_idirect
174,2,0.98724537,0.003281816,0.000328182,weighted,No,warming_spearman_idirect
175,3,0.979861111,0.003729625,0.000372963,weighted,No,warming_spearman_idirect
176,4,0.974768519,0.003581565,0.000358156,weighted,No,warming_spearman_idirect
177,5,0.966550926,0.005787037,0.000578704,weighted,No,warming_spearman_idirect
178,6,0.960162037,0.005739328,0.000573933,weighted,No,warming_spearman_idirect
179,7,0.95224537,0.00761476,0.000761476,weighted,No,warming_spearman_idirect
180,8,0.943611111,0.008436613,0.000843661,weighted,No,warming_spearman_idirect
181,9,0.936180556,0.008240161,0.000824016,weighted,No,warming_spearman_idirect
182,10,0.926805556,0.0087593,0.00087593,weighted,No,warming_spearman_idirect
183,11,0.919166667,0.008399063,0.000839906,weighted,No,warming_spearman_idirect
184,12,0.908402778,0.007351481,0.000735148,weighted,No,warming_spearman_idirect
185,13,0.899143519,0.006872011,0.000687201,weighted,No,warming_spearman_idirect
186,14,0.888888889,0,0,weighted,No,warming_spearman_idirect
187,1,0.993402778,0.002038158,0.000203816,unweighted,No,warming_spearman_idirect
188,2,0.986898148,0.002983338,0.000298334,unweighted,No,warming_spearman_idirect
189,3,0.980486111,0.003343253,0.000334325,unweighted,No,warming_spearman_idirect
190,4,0.973009259,0.004292585,0.000429259,unweighted,No,warming_spearman_idirect
191,5,0.96650463,0.005636174,0.000563617,unweighted,No,warming_spearman_idirect
192,6,0.959490741,0.006026427,0.000602643,unweighted,No,warming_spearman_idirect
193,7,0.950231481,0.008430067,0.000843007,unweighted,No,warming_spearman_idirect
194,8,0.942291667,0.008587535,0.000858753,unweighted,No,warming_spearman_idirect
195,9,0.936481481,0.007697227,0.000769723,unweighted,No,warming_spearman_idirect
196,10,0.924907407,0.00894602,0.000894602,unweighted,No,warming_spearman_idirect
197,11,0.917893519,0.009389602,0.00093896,unweighted,No,warming_spearman_idirect
198,12,0.909166667,0.008523417,0.000852342,unweighted,No,warming_spearman_idirect
199,13,0.898981481,0.007294311,0.000729431,unweighted,No,warming_spearman_idirect
200,14,0.888888889,0,0,unweighted,No,warming_spearman_idirect
201,1,0.757668712,0.004841947,0.000484195,weighted,Yes,warming_spearman
202,2,0.753026585,0.005862844,0.000586284,weighted,Yes,warming_spearman
203,3,0.748773006,0.006862183,0.000686218,weighted,Yes,warming_spearman
204,4,0.745194274,0.006902845,0.000690284,weighted,Yes,warming_spearman
205,5,0.741349693,0.008446625,0.000844663,weighted,Yes,warming_spearman
206,6,0.736278119,0.007766285,0.000776628,weighted,Yes,warming_spearman
207,7,0.733087935,0.008702797,0.00087028,weighted,Yes,warming_spearman
208,8,0.729856851,0.007475728,0.000747573,weighted,Yes,warming_spearman
209,9,0.724294479,0.007378355,0.000737836,weighted,Yes,warming_spearman
210,10,0.721063395,0.009232815,0.000923281,weighted,Yes,warming_spearman
